"NUTS_ID","area_m2","area_km2"
"CZ06",13937457492.3019,13937.4574923019
"CZ07",9124548530.46673,9124.54853046673
"CZ08",5433306853.97699,5433.30685397699
"DE11",10484410337.1953,10484.4103371953
"DE12",6773764654.52115,6773.76465452115
"DE13",9432948926.73085,9432.94892673085
"DE14",9358811970.81232,9358.81197081232
"DE21",17456693719.5147,17456.6937195147
"DE22",10089628136.5653,10089.6281365653
"DE23",9751010838.06183,9751.01083806183
"DE24",7213726189.37059,7213.72618937059
"DE25",7368478581.15944,7368.47858115944
"DE26",8410597702.18594,8410.59770218594
"DE27",10037946427.3026,10037.9464273026
"DE30",879875033.943927,879.875033943927
"DEC0",2519279514.50904,2519.27951450904
"DED2",7962267668.98164,7962.26766898164
"DED4",6684921407.06626,6684.92140706626
"DED5",3805881393.92961,3805.88139392961
"DEE0",20709181080.8652,20709.1810808652
"DEF0",15532359895.6336,15532.3598956336
"DEG0",16101450093.9201,16101.4500939201
"DK01",2559456820.68395,2559.45682068395
"ES2",70237119793.0818,70237.1197930818
"ES3",7891927667.28678,7891.92766728678
"ES4",215739555427.789,215739.555427789
"ES5",60338801996.8568,60338.8019968568
"ES6",99003098905.8274,99003.0989058274
"ES7",7398058506.53636,7398.05850653636
"AT31",11966946671.6695,11966.9466716695
"AT32",7230650539.55561,7230.65053955561
"AT33",12619810249.6458,12619.8102496458
"LT0",64584454298.8793,64584.4542988793
"LU0",2627480254.72339,2627.48025472339
"LV0",64646543720.7183,64646.5437207183
"ME0",13968864824.1021,13968.8648241021
"MK0",25392523403.8038,25392.5234038038
"MT0",275536525.21658,275.53652521658
"NL1",8966577919.40522,8966.57791940522
"NL2",10833090096.0506,10833.0900960506
"NL3",10186743915.1852,10186.7439151852
"NL4",7225963480.81795,7225.96348081795
"PL2",27577827555.1273,27577.8275551273
"PL4",66332920920.3188,66332.9209203188
"CY00",9240925342.13708,9240.92534213708
"CZ01",485420144.434538,485.420144434538
"CZ02",10952510892.4152,10952.5108924152
"CZ03",17981890817.9419,17981.8908179419
"CZ04",8588782151.28599,8588.78215128599
"FI1",337265541408.55,337265.54140855
"FI2",1305786436.03543,1305.78643603543
"FR1",12267446887.6308,12267.4468876308
"FRB",39646899435.1242,39646.8994351242
"FRC",47988968269.336,47988.968269336
"FRD",30129745113.7803,30129.7451137803
"FRE",31732652351.7593,31732.6523517593
"FRF",57633597060.0231,57633.5970600231
"FRG",32386361776.5101,32386.3617765101
"FRH",27411653918.5882,27411.6539185882
"SI0",20147953048.9329,20147.9530489329
"SK0",48918809255.6755,48918.8092556755
"TR1",5001630205.26239,5001.63020526239
"TR2",42408104658.6444,42408.1046586444
"TR3",89269205391.1078,89269.2053911078
"TR4",49374868493.0782,49374.8684930782
"TR5",75240130186.0582,75240.1301860582
"TR6",89315955450.804,89315.955450804
"DK03",12138973643.0766,12138.9736430766
"DK04",13234404983.6867,13234.4049836867
"DK05",8152879489.64545,8152.87948964545
"EE00",45237608708.0815,45237.6087080815
"EL30",4002459080.23093,4002.45908023093
"EL41",3591924379.66962,3591.92437966962
"DE40",29424156315.2814,29424.1563152814
"DE50",385811920.459271,385.811920459271
"DE60",770536849.767724,770.536849767724
"DE71",7371013954.88765,7371.01395488765
"DE72",5426832910.51307,5426.83291051307
"DE73",8268842766.54258,8268.84276654258
"DE80",23182448870.7359,23182.4488707359
"DE91",8160782980.98789,8160.78298098789
"DE92",9234731465.59958,9234.73146559958
"UKJ",18988067853.3534,18988.0678533534
"UKK",23922212227.6045,23922.2122276045
"UKL",20790111439.284,20790.111439284
"UKM",79131592600.8327,79131.5926008327
"UKN",14039846097.5866,14039.8460975866
"AL01",10763210572.0449,10763.2105720449
"AL02",5024078018.07352,5024.07801807352
"AL03",12875397517.0156,12875.3975170156
"AT11",3945170545.47981,3945.17054547981
"AT12",19367662589.6535,19367.6625896535
"AT13",338779166.013972,338.779166013972
"AT21",9393066499.17114,9393.06649917114
"AT22",16386988536.7516,16386.9885367516
"ES51",32129599176.1389,32129.5991761389
"ES52",23145026331.3302,23145.0263313302
"AT34",2602107925.7004,2602.1079257004
"BE10",158893401.324035,158.893401324035
"BE21",2943461849.02897,2943.46184902897
"BE22",2375011472.37644,2375.01147237644
"BE23",3064000173.03691,3064.00017303691
"BE24",2132471528.16664,2132.47152816664
"BE25",3145835279.5728,3145.8352795728
"BE31",1086068322.75595,1086.06832275595
"BE32",3764561304.28704,3764.56130428704
"BE33",3892058841.49081,3892.05884149081
"BE34",4413243216.36119,4413.24321636119
"BE35",3779296389.91631,3779.29638991631
"BG31",18916567861.107,18916.567861107
"BG32",14845240313.602,14845.240313602
"BG33",14705546834.9785,14705.5468349785
"BG34",19966832752.2108,19966.8327522108
"BG41",20441421666.4028,20441.4216664028
"BG42",22514448505.5144,22514.4485055144
"CH01",8732532635.72782,8732.53263572782
"TR7",91733789581.4852,91733.7895814852
"TR8",74286066529.9561,74286.0665299561
"TR9",35041286425.8458,35041.2864258458
"TRA",70639570744.2124,70639.5707442124
"TRB",81612097826.6805,81612.0978266805
"TRC",75931507893.2529,75931.5078932529
"UKC",8547517034.46672,8547.51703446672
"UKD",14184471354.0198,14184.4713540198
"UKE",15585261218.0058,15585.2612180058
"UKF",15757386323.304,15757.386323304
